Week,City Code,City,New Cases,non-Hubei flow,Wuhan flow(Previous week),Relative Humidity,Hospitals,,,,,,
1,442000,Zhongshan,2,-0.4,-4.89,-0.34,-0.19,,,,,,
1,450200,Liuzhou,2,-0.32,-4.15,-0.13,-0.2,,,,,,
1,450300,Guilin,2,-0.32,-4.65,0.1,-0.22,,,,,,
1,450400,Wuzhou,1,-0.44,-4.95,-0.32,-0.1,,,,,,
1,450500,Beihai,6,-0.44,-4.1,0.15,-0.06,,,,,,
1,451000,Baise,1,-0.49,-5.1,0.93,-0.14,,,,,,
1,451200,Hechi,1,-0.32,-5.32,0.1,-0.14,,,,,,
1,460100,Haikou,3,-0.42,-4.33,0.16,-0.1,,,,,,
1,460200,Sanya,2,-0.48,-4.37,0.15,-0.07,,,,,,
1,500000,Chongqing,27,5.88,5.24,1.41,5.99,,,,,,
1,510100,Chengdu,7,2.52,-1.61,-0.72,1.56,,,,,,
1,510600,Deyang,1,-0.44,-4.93,-0.32,-0.19,,,,,,
1,510700,Mianyang,2,-0.19,-5.18,-0.28,-0.19,,,,,,
1,510900,Suining,1,-0.44,-4.93,-0.32,-0.19,,,,,,
1,511600,Guangan,2,-0.27,-5.19,0.98,-0.2,,,,,,
1,511700,Dazhou,1,-0.31,-5.37,-0.04,1.02,,,,,,
1,511800,Yaan,1,-0.45,-5.05,0.15,-0.14,,,,,,
1,520100,Guiyang,1,-0.35,-4.62,0.11,-0.31,,,,,,
1,520600,Tongren,1,-0.42,-4.15,-0.71,-0.21,,,,,,
1,522700,Qiannan,1,-0.42,-4.92,-0.35,-0.12,,,,,,
1,530100,Kunming,3,-0.18,-4.7,-0.3,-0.22,,,,,,
1,530700,Lijiang,1,-0.42,-4.94,-0.34,-0.1,,,,,,
1,532800,Xishuangbanna,1,-0.43,-5.1,-0.34,-0.13,,,,,,
1,610100,Xian,2,1.53,-5.21,-0.68,0.01,,,,,,
1,610400,Xianyang,1,-0.21,-5.2,-0.3,-0.13,,,,,,
1,620100,Lanzhou,1,-0.39,-4.38,-0.37,-0.11,,,,,,
1,620400,Baiyin,1,-0.43,-5.03,-0.34,-0.17,,,,,,
1,640100,Yinchuan,1,-0.27,-4.92,-0.34,-0.19,,,,,,
1,640500,Zhongwei,1,-0.43,-5.1,-0.34,-0.13,,,,,,
1,650100,Urumqi ,2,-0.33,-4.33,-0.12,-0.1,,,,,,
1,810000,Hongkong,2,-0.45,-4.84,0.16,-0.29,,,,,,
1,820000,Macau,2,-0.44,-4.81,0.15,-0.06,,,,,,
Week,City Code,City,New Cases,City internal flow,Wuhan flow,City internal flow(Previous week),Hubei/non Wuhan flow(Previous week),Density,,,,,
2,110000,Beijing,106,-0.69,20.09,0.07,12.26,21.2,,,,,
2,120000,Tianjin,25,-1.53,-15.2,-0.25,-3.59,5.43,,,,,
2,130100,Shijiazhuang,10,-1.39,-14.11,-0.37,-5.75,2.89,,,,,
2,130200,Tangshan,7,-1.58,-17.24,-0.1,-5.85,-0.95,,,,,
2,130400,Handan,7,-1.75,-14.34,-0.67,-3.58,2.35,,,,,
2,130500,Xingtai,7,-1.17,-14.35,-1.01,-3.42,-0.08,,,,,
2,130600,Baoding,11,-1.17,-15.05,-0.85,-3.41,-0.98,,,,,
2,130700,Zhangjiakou,6,-1.59,-17.59,-0.14,-6.32,-1.92,,,,,
